athlete_name,year,points_earned,event_name,country,profile_url,stance,first_season,age,height(cm),weight(kg),beach,event_region,event_country
Conner Coffin,2018,1665,MEO Pro Portugal,United States,https://www.worldsurfleague.com/athletes/1215/conner-coffin,Regular,2008 Men's QS,25,172,76,Guincho,Cascais,Portugal
Jeremy Flores,2018,1665,Oi Rio Pro,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,30,173,72,Itaúna,Saquarena,Brasil
Michel Bourez,2018,1665,Margaret River Pro,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,32,175,80,Main Breack,Margaret River,Australia
Adrian Buchan,2018,1665,Oi Rio Pro,Australia,https://www.worldsurfleague.com/athletes/575/adrian-buchan,Goofy,2003 Men's CT,36,175,75,Itaúna,Saquarena,Brasil
Jordy Smith,2018,1665,MEO Pro Portugal,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,30,190,88,Guincho,Cascais,Portugal
Jesse Mendes,2018,1665,Tahiti Pro Teahupo'o,Italy,https://www.worldsurfleague.com/athletes/700/jesse-mendes,Goofy,2008 Men's QS,25,186,79,Teahupo'o,Tahiti,French Polynesia
Keanu Asing,2018,1665,Oi Rio Pro,Hawaii,https://www.worldsurfleague.com/athletes/1677/keanu-asing,Regular,2009 Men's QS,25,163,63,Itaúna,Saquarena,Brasil
Kolohe Andino,2018,1665,MEO Pro Portugal,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,24,180,79,Guincho,Cascais,Portugal
Joel Parkinson,2018,1665,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/556/joel-parkinson,Regular,1999 Men's CT,37,183,82,Snapper Rocks,"Gold Coast, Queensland",Australia
Miguel Pupo,2018,1665,Oi Rio Pro,Brazil,https://www.worldsurfleague.com/athletes/688/miguel-pupo,Goofy,2008 Men's QS,26,175,73,Itaúna,Saquarena,Brasil
Jeremy Flores,2018,1665,MEO Pro Portugal,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,30,173,72,Guincho,Cascais,Portugal
Michael Rodrigues,2018,1665,MEO Pro Portugal,Brazil,https://www.worldsurfleague.com/athletes/2251/michael-rodrigues,Regular,2010 Men's QS,23,175,75,Guincho,Cascais,Portugal
Kolohe Andino,2018,1665,Quiksilver Pro Gold Coast,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,24,180,79,Snapper Rocks,"Gold Coast, Queensland",Australia
Ezekiel Lau,2018,1665,Quiksilver Pro France,Hawaii,https://www.worldsurfleague.com/athletes/1957/ezekiel-lau,Regular,2008 Men's QS,24,186,92,Hossegor,Landas,France
Wiggolly Dantas,2018,1665,J-Bay Open,Brazil,https://www.worldsurfleague.com/athletes/425/wiggolly-dantas,Goofy,2008 Men's QS,28,175,72,Supertubes,Jeffreys Bay,South Africa
Willian Cardoso,2018,1665,MEO Pro Portugal,Brazil,https://www.worldsurfleague.com/athletes/622/willian-cardoso,Regular,2008 Men's QS,32,179,95,Guincho,Cascais,Portugal
Jeremy Flores,2018,1665,Surf Ranch Pro,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,30,173,72,Surf Ranch,"Lemoore, California",USA
Yago Dora,2018,1665,Quiksilver Pro France,Brazil,https://www.worldsurfleague.com/athletes/3994/yago-dora,Goofy,2012 Men's JR,22,181,77,Hossegor,Landas,France
Ian Gouveia,2018,1665,Tahiti Pro Teahupo'o,Brazil,https://www.worldsurfleague.com/athletes/1089/ian-gouveia,Goofy,2008 Men's QS,25,167,69,Teahupo'o,Tahiti,French Polynesia
Frederico Morais,2018,1665,Quiksilver Pro Gold Coast,Portugal,https://www.worldsurfleague.com/athletes/1343/frederico-morais,Regular,2008 Men's QS,26,185,81,Snapper Rocks,"Gold Coast, Queensland",Australia
Miguel Blanco,2019,1330,MEO Pro Portugal,Portugal,https://www.worldsurfleague.com/athletes/2642/miguel-blanco,Regular,2011 Men's JR,23,173,67,Guincho,Cascais,Portugal
Kanoa Igarashi,2021,1330,Corona Open Mexico,Japan,https://www.worldsurfleague.com/athletes/3896/kanoa-igarashi,Regular,2012 Men's JR,24,180,78,Barra de la Cruz,Oaxaca,Mexico
Ryan Callinan,2021,1330,Corona Open Mexico,Australia,https://www.worldsurfleague.com/athletes/1760/ryan-callinan,Goofy,2009 Men's QS,29,183,80,Barra de la Cruz,Oaxaca,Mexico
Adrian Buchan,2019,1330,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/575/adrian-buchan,Goofy,2003 Men's CT,37,175,75,Snapper Rocks,"Gold Coast, Queensland",Australia
Griffin Colapinto,2021,1330,Corona Open Mexico,United States,https://www.worldsurfleague.com/athletes/3165/griffin-colapinto,Regular,2011 Men's JR,23,178,78,Barra de la Cruz,Oaxaca,Mexico
Owen Wright,2019,1330,Billabong Pipe Masters,Australia,https://www.worldsurfleague.com/athletes/297/owen-wright,Goofy,2006 Men's CT,29,190,81,Pipeline,Oahu,"Hawai, USA"
Ryan Callinan,2019,1330,Billabong Pipe Masters,Australia,https://www.worldsurfleague.com/athletes/1760/ryan-callinan,Goofy,2009 Men's QS,27,183,80,Pipeline,Oahu,"Hawai, USA"
Vasco Ribeiro,2019,1330,MEO Pro Portugal,Portugal,https://www.worldsurfleague.com/athletes/1358/vasco-ribeiro,Regular,2008 Men's QS,24,180,84,Guincho,Cascais,Portugal
Frederico Morais,2019,1330,MEO Pro Portugal,Portugal,https://www.worldsurfleague.com/athletes/1343/frederico-morais,Regular,2008 Men's QS,27,185,81,Guincho,Cascais,Portugal
Filipe Toledo,2022,1330,Tahiti Pro Teahupo'o,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,27,175,70,Teahupo'o,Tahiti,French Polynesia
Jadson Andre,2019,1330,MEO Pro Portugal,Brazil,https://www.worldsurfleague.com/athletes/466/jadson-andre,Goofy,2008 Men's QS,29,170,70,Guincho,Cascais,Portugal
Filipe Toledo,2021,1330,Corona Open Mexico,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,26,175,70,Barra de la Cruz,Oaxaca,Mexico
Leonardo Fioravanti,2019,1330,MEO Pro Portugal,Italy,https://www.worldsurfleague.com/athletes/2656/leonardo-fioravanti,Regular,2011 Men's JR,21,180,80,Guincho,Cascais,Portugal
Gabriel Medina,2022,1330,J-Bay Open,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,28,180,77,Supertubes,Jeffreys Bay,South Africa
Willian Cardoso,2019,1330,Tahiti Pro Teahupo'o,Brazil,https://www.worldsurfleague.com/athletes/622/willian-cardoso,Regular,2008 Men's QS,33,179,95,Teahupo'o,Tahiti,French Polynesia
Wade Carmichael,2019,1330,Billabong Pipe Masters,Australia,https://www.worldsurfleague.com/athletes/2817/wade-carmichael,Regular,2011 Men's JR,26,180,86,Pipeline,Oahu,"Hawai, USA"
Kanoa Igarashi,2019,1330,Tahiti Pro Teahupo'o,Japan,https://www.worldsurfleague.com/athletes/3896/kanoa-igarashi,Regular,2012 Men's JR,22,180,78,Teahupo'o,Tahiti,French Polynesia
Deivid Silva,2019,1330,MEO Pro Portugal,Brazil,https://www.worldsurfleague.com/athletes/2760/deivid-silva,Goofy,2011 Men's JR,24,168,68,Guincho,Cascais,Portugal
Michel Bourez,2019,1330,MEO Pro Portugal,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,33,175,80,Guincho,Cascais,Portugal
Peterson Crisanto,2019,1330,Quiksilver Pro Gold Coast,Brazil,https://www.worldsurfleague.com/athletes/482/peterson-crisanto,Regular,2008 Men's QS,27,166,72,Snapper Rocks,"Gold Coast, Queensland",Australia
Joan Duru,2019,1330,Billabong Pipe Masters,France,https://www.worldsurfleague.com/athletes/621/joan-duru,Goofy,2006 Men's CT,30,177,77,Pipeline,Oahu,"Hawai, USA"
Ezekiel Lau,2019,1330,Billabong Pipe Masters,Hawaii,https://www.worldsurfleague.com/athletes/1957/ezekiel-lau,Regular,2008 Men's QS,25,186,92,Pipeline,Oahu,"Hawai, USA"
Ryan Callinan,2019,1330,Tahiti Pro Teahupo'o,Australia,https://www.worldsurfleague.com/athletes/1760/ryan-callinan,Goofy,2009 Men's QS,27,183,80,Teahupo'o,Tahiti,French Polynesia
Sebastian Zietz,2019,1330,Billabong Pipe Masters,Hawaii,https://www.worldsurfleague.com/athletes/14/sebastian-zietz,Regular,2008 Men's QS,31,183,77,Pipeline,Oahu,"Hawai, USA"
Willian Cardoso,2019,1330,Billabong Pipe Masters,Brazil,https://www.worldsurfleague.com/athletes/622/willian-cardoso,Regular,2008 Men's QS,33,179,95,Pipeline,Oahu,"Hawai, USA"
Sebastian Zietz,2019,1330,MEO Pro Portugal,Hawaii,https://www.worldsurfleague.com/athletes/14/sebastian-zietz,Regular,2008 Men's QS,31,183,77,Guincho,Cascais,Portugal
Deivid Silva,2019,1330,Billabong Pipe Masters,Brazil,https://www.worldsurfleague.com/athletes/2760/deivid-silva,Goofy,2011 Men's JR,24,168,68,Pipeline,Oahu,"Hawai, USA"
Yago Dora,2019,1330,MEO Pro Portugal,Brazil,https://www.worldsurfleague.com/athletes/3994/yago-dora,Goofy,2012 Men's JR,23,181,77,Guincho,Cascais,Portugal
Wade Carmichael,2019,1330,Tahiti Pro Teahupo'o,Australia,https://www.worldsurfleague.com/athletes/2817/wade-carmichael,Regular,2011 Men's JR,26,180,86,Teahupo'o,Tahiti,French Polynesia
Kelly Slater,2019,1330,Tahiti Pro Teahupo'o,United States,https://www.worldsurfleague.com/athletes/553/kelly-slater,Regular,1989 Men's CT,47,175,73,Teahupo'o,Tahiti,French Polynesia
Joan Duru,2019,1330,MEO Pro Portugal,France,https://www.worldsurfleague.com/athletes/621/joan-duru,Goofy,2006 Men's CT,30,177,77,Guincho,Cascais,Portugal
Ricardo Christie,2019,1330,Tahiti Pro Teahupo'o,New Zealand,https://www.worldsurfleague.com/athletes/314/ricardo-christie,Regular,2008 Men's QS,31,185,84,Teahupo'o,Tahiti,French Polynesia
Adrian Buchan,2019,1330,Tahiti Pro Teahupo'o,Australia,https://www.worldsurfleague.com/athletes/575/adrian-buchan,Goofy,2003 Men's CT,37,175,75,Teahupo'o,Tahiti,French Polynesia
Conner Coffin,2019,1330,Tahiti Pro Teahupo'o,United States,https://www.worldsurfleague.com/athletes/1215/conner-coffin,Regular,2008 Men's QS,26,172,76,Teahupo'o,Tahiti,French Polynesia
Kolohe Andino,2019,1330,Tahiti Pro Teahupo'o,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,25,180,79,Teahupo'o,Tahiti,French Polynesia
Peterson Crisanto,2019,1330,Tahiti Pro Teahupo'o,Brazil,https://www.worldsurfleague.com/athletes/482/peterson-crisanto,Regular,2008 Men's QS,27,166,72,Teahupo'o,Tahiti,French Polynesia
Yago Dora,2019,1330,Tahiti Pro Teahupo'o,Brazil,https://www.worldsurfleague.com/athletes/3994/yago-dora,Goofy,2012 Men's JR,23,181,77,Teahupo'o,Tahiti,French Polynesia
Jadson Andre,2019,1330,Billabong Pipe Masters,Brazil,https://www.worldsurfleague.com/athletes/466/jadson-andre,Goofy,2008 Men's QS,29,170,70,Pipeline,Oahu,"Hawai, USA"
Jesse Mendes,2019,1330,Tahiti Pro Teahupo'o,Italy,https://www.worldsurfleague.com/athletes/700/jesse-mendes,Goofy,2008 Men's QS,26,186,79,Teahupo'o,Tahiti,French Polynesia
Adrian Buchan,2019,1330,MEO Pro Portugal,Australia,https://www.worldsurfleague.com/athletes/575/adrian-buchan,Goofy,2003 Men's CT,37,175,75,Guincho,Cascais,Portugal
Sebastian Zietz,2019,1330,Tahiti Pro Teahupo'o,Hawaii,https://www.worldsurfleague.com/athletes/14/sebastian-zietz,Regular,2008 Men's QS,31,183,77,Teahupo'o,Tahiti,French Polynesia
Ezekiel Lau,2019,1330,Tahiti Pro Teahupo'o,Hawaii,https://www.worldsurfleague.com/athletes/1957/ezekiel-lau,Regular,2008 Men's QS,25,186,92,Teahupo'o,Tahiti,French Polynesia
Conner Coffin,2019,1330,Billabong Pipe Masters,United States,https://www.worldsurfleague.com/athletes/1215/conner-coffin,Regular,2008 Men's QS,26,172,76,Pipeline,Oahu,"Hawai, USA"
Soli Bailey,2019,1330,Tahiti Pro Teahupo'o,Australia,https://www.worldsurfleague.com/athletes/2824/soli-bailey,Regular,2011 Men's JR,24,183,80,Teahupo'o,Tahiti,French Polynesia
Adrian Buchan,2019,1330,Billabong Pipe Masters,Australia,https://www.worldsurfleague.com/athletes/575/adrian-buchan,Goofy,2003 Men's CT,37,175,75,Pipeline,Oahu,"Hawai, USA"
Seth Moniz,2022,1330,J-Bay Open,Hawaii,https://www.worldsurfleague.com/athletes/3955/seth-moniz,Regular,2012 Men's JR,25,170,68,Supertubes,Jeffreys Bay,South Africa
Joan Duru,2019,1330,Quiksilver Pro France,France,https://www.worldsurfleague.com/athletes/621/joan-duru,Goofy,2006 Men's CT,30,177,77,Hossegor,Landas,France
Adriano de Souza,2021,1330,Corona Open Mexico,Brazil,https://www.worldsurfleague.com/athletes/13/adriano-de-souza,Regular,2006 Men's CT,34,170,66,Barra de la Cruz,Oaxaca,Mexico
Michael Rodrigues,2019,1330,Quiksilver Pro France,Brazil,https://www.worldsurfleague.com/athletes/2251/michael-rodrigues,Regular,2010 Men's QS,24,175,75,Hossegor,Landas,France
Seth Moniz,2022,1330,Tahiti Pro Teahupo'o,Hawaii,https://www.worldsurfleague.com/athletes/3955/seth-moniz,Regular,2012 Men's JR,25,170,68,Teahupo'o,Tahiti,French Polynesia
Kolohe Andino,2022,1330,Tahiti Pro Teahupo'o,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,28,180,79,Teahupo'o,Tahiti,French Polynesia
Kanoa Igarashi,2022,1330,Oi Rio Pro,Japan,https://www.worldsurfleague.com/athletes/3896/kanoa-igarashi,Regular,2012 Men's JR,25,180,78,Itaúna,Saquarena,Brasil
Conner Coffin,2019,1330,Quiksilver Pro France,United States,https://www.worldsurfleague.com/athletes/1215/conner-coffin,Regular,2008 Men's QS,26,172,76,Hossegor,Landas,France
Peterson Crisanto,2019,1330,Quiksilver Pro France,Brazil,https://www.worldsurfleague.com/athletes/482/peterson-crisanto,Regular,2008 Men's QS,27,166,72,Hossegor,Landas,France
Willian Cardoso,2019,1330,Quiksilver Pro France,Brazil,https://www.worldsurfleague.com/athletes/622/willian-cardoso,Regular,2008 Men's QS,33,179,95,Hossegor,Landas,France
Jesse Mendes,2019,1330,Quiksilver Pro France,Italy,https://www.worldsurfleague.com/athletes/700/jesse-mendes,Goofy,2008 Men's QS,26,186,79,Hossegor,Landas,France
Jeremy Flores,2019,1330,Quiksilver Pro Gold Coast,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,31,173,72,Snapper Rocks,"Gold Coast, Queensland",Australia
Gabriel Medina,2022,1330,Tahiti Pro Teahupo'o,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,28,180,77,Teahupo'o,Tahiti,French Polynesia
Griffin Colapinto,2022,1330,Oi Rio Pro,United States,https://www.worldsurfleague.com/athletes/3165/griffin-colapinto,Regular,2011 Men's JR,24,178,78,Itaúna,Saquarena,Brasil
Julian Wilson,2019,1330,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/763/julian-wilson,Regular,2007 Men's CT,30,183,82,Snapper Rocks,"Gold Coast, Queensland",Australia
Ryan Callinan,2019,1330,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/1760/ryan-callinan,Goofy,2009 Men's QS,27,183,80,Snapper Rocks,"Gold Coast, Queensland",Australia
Nat Young,2022,1330,Tahiti Pro Teahupo'o,United States,https://www.worldsurfleague.com/athletes/139/nat-young,Goofy,2008 Men's QS,31,180,75,Teahupo'o,Tahiti,French Polynesia
Seth Moniz,2022,1330,Surf City El Salvador Pro,Hawaii,https://www.worldsurfleague.com/athletes/3955/seth-moniz,Regular,2012 Men's JR,25,170,68,El Tunco,La libertad,El Salvador
Soli Bailey,2019,1330,Quiksilver Pro France,Australia,https://www.worldsurfleague.com/athletes/2824/soli-bailey,Regular,2011 Men's JR,24,183,80,Hossegor,Landas,France
Jadson Andre,2022,1330,Surf City El Salvador Pro,Brazil,https://www.worldsurfleague.com/athletes/466/jadson-andre,Goofy,2008 Men's QS,32,170,70,El Tunco,La libertad,El Salvador
Caio Ibelli,2019,1330,Quiksilver Pro France,Brazil,https://www.worldsurfleague.com/athletes/1291/caio-ibelli,Regular,2008 Men's QS,26,167,72,Hossegor,Landas,France
Griffin Colapinto,2019,1330,Quiksilver Pro France,United States,https://www.worldsurfleague.com/athletes/3165/griffin-colapinto,Regular,2011 Men's JR,21,178,78,Hossegor,Landas,France
Barron Mamiya,2022,1330,Tahiti Pro Teahupo'o,Hawaii,https://www.worldsurfleague.com/athletes/3962/barron-mamiya,Regular,2012 Men's JR,22,175,62,Teahupo'o,Tahiti,French Polynesia
Conner Coffin,2019,1330,Surf Ranch Pro,United States,https://www.worldsurfleague.com/athletes/1215/conner-coffin,Regular,2008 Men's QS,26,172,76,Surf Ranch,"Lemoore, California",USA
Kolohe Andino,2019,1330,Surf Ranch Pro,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,25,180,79,Surf Ranch,"Lemoore, California",USA
Jeremy Flores,2019,1330,Surf Ranch Pro,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,31,173,72,Surf Ranch,"Lemoore, California",USA
Seth Moniz,2019,1330,Surf Ranch Pro,Hawaii,https://www.worldsurfleague.com/athletes/3955/seth-moniz,Regular,2012 Men's JR,22,170,68,Surf Ranch,"Lemoore, California",USA
Ryan Callinan,2019,1330,Surf Ranch Pro,Australia,https://www.worldsurfleague.com/athletes/1760/ryan-callinan,Goofy,2009 Men's QS,27,183,80,Surf Ranch,"Lemoore, California",USA
Jack Freestone,2019,1330,Surf Ranch Pro,Australia,https://www.worldsurfleague.com/athletes/2112/jack-freestone,Regular,2010 Men's QS,27,185,86,Surf Ranch,"Lemoore, California",USA
Caio Ibelli,2019,1330,Surf Ranch Pro,Brazil,https://www.worldsurfleague.com/athletes/1291/caio-ibelli,Regular,2008 Men's QS,26,167,72,Surf Ranch,"Lemoore, California",USA
Willian Cardoso,2019,1330,MEO Pro Portugal,Brazil,https://www.worldsurfleague.com/athletes/622/willian-cardoso,Regular,2008 Men's QS,33,179,95,Guincho,Cascais,Portugal
Deivid Silva,2019,1330,Quiksilver Pro Gold Coast,Brazil,https://www.worldsurfleague.com/athletes/2760/deivid-silva,Goofy,2011 Men's JR,24,168,68,Snapper Rocks,"Gold Coast, Queensland",Australia
Ricardo Christie,2019,1330,Surf Ranch Pro,New Zealand,https://www.worldsurfleague.com/athletes/314/ricardo-christie,Regular,2008 Men's QS,31,185,84,Surf Ranch,"Lemoore, California",USA
Filipe Toledo,2019,1330,Quiksilver Pro France,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,24,175,70,Hossegor,Landas,France
Kanoa Igarashi,2019,1330,Quiksilver Pro France,Japan,https://www.worldsurfleague.com/athletes/3896/kanoa-igarashi,Regular,2012 Men's JR,22,180,78,Hossegor,Landas,France
Kelly Slater,2019,1330,Quiksilver Pro France,United States,https://www.worldsurfleague.com/athletes/553/kelly-slater,Regular,1989 Men's CT,47,175,73,Hossegor,Landas,France
Owen Wright,2019,1330,Quiksilver Pro France,Australia,https://www.worldsurfleague.com/athletes/297/owen-wright,Goofy,2006 Men's CT,29,190,81,Hossegor,Landas,France
Joan Duru,2019,1330,Surf Ranch Pro,France,https://www.worldsurfleague.com/athletes/621/joan-duru,Goofy,2006 Men's CT,30,177,77,Surf Ranch,"Lemoore, California",USA
Soli Bailey,2019,1330,Surf Ranch Pro,Australia,https://www.worldsurfleague.com/athletes/2824/soli-bailey,Regular,2011 Men's JR,24,183,80,Surf Ranch,"Lemoore, California",USA
Jadson Andre,2019,1330,Surf Ranch Pro,Brazil,https://www.worldsurfleague.com/athletes/466/jadson-andre,Goofy,2008 Men's QS,29,170,70,Surf Ranch,"Lemoore, California",USA
Kolohe Andino,2022,1330,Surf City El Salvador Pro,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,28,180,79,El Tunco,La libertad,El Salvador
John John Florence,2022,1330,Oi Rio Pro,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,29,186,79,Itaúna,Saquarena,Brasil
Jadson Andre,2022,1330,J-Bay Open,Brazil,https://www.worldsurfleague.com/athletes/466/jadson-andre,Goofy,2008 Men's QS,32,170,70,Supertubes,Jeffreys Bay,South Africa
Miguel Pupo,2021,1330,Corona Open Mexico,Brazil,https://www.worldsurfleague.com/athletes/688/miguel-pupo,Goofy,2008 Men's QS,29,175,73,Barra de la Cruz,Oaxaca,Mexico
Kolohe Andino,2022,1330,Oi Rio Pro,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,28,180,79,Itaúna,Saquarena,Brasil
Michel Bourez,2021,1330,Corona Open Mexico,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,35,175,80,Barra de la Cruz,Oaxaca,Mexico
Peterson Crisanto,2021,1330,Corona Open Mexico,Brazil,https://www.worldsurfleague.com/athletes/482/peterson-crisanto,Regular,2008 Men's QS,29,166,72,Barra de la Cruz,Oaxaca,Mexico
Jadson Andre,2022,1330,Oi Rio Pro,Brazil,https://www.worldsurfleague.com/athletes/466/jadson-andre,Goofy,2008 Men's QS,32,170,70,Itaúna,Saquarena,Brasil
Caio Ibelli,2021,1330,Corona Open Mexico,Brazil,https://www.worldsurfleague.com/athletes/1291/caio-ibelli,Regular,2008 Men's QS,28,167,72,Barra de la Cruz,Oaxaca,Mexico
Owen Wright,2021,1330,Corona Open Mexico,Australia,https://www.worldsurfleague.com/athletes/297/owen-wright,Goofy,2006 Men's CT,31,190,81,Barra de la Cruz,Oaxaca,Mexico
Jake Marshall,2022,1330,J-Bay Open,United States,https://www.worldsurfleague.com/athletes/3122/jake-marshall,Regular,2011 Men's JR,23,182,74,Supertubes,Jeffreys Bay,South Africa
Seth Moniz,2021,1330,Corona Open Mexico,Hawaii,https://www.worldsurfleague.com/athletes/3955/seth-moniz,Regular,2012 Men's JR,24,170,68,Barra de la Cruz,Oaxaca,Mexico
Barron Mamiya,2022,1330,J-Bay Open,Hawaii,https://www.worldsurfleague.com/athletes/3962/barron-mamiya,Regular,2012 Men's JR,22,175,62,Supertubes,Jeffreys Bay,South Africa
Jordy Smith,2019,1330,Billabong Pipe Masters,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,31,190,88,Pipeline,Oahu,"Hawai, USA"
Seth Moniz,2022,1330,Oi Rio Pro,Hawaii,https://www.worldsurfleague.com/athletes/3955/seth-moniz,Regular,2012 Men's JR,25,170,68,Itaúna,Saquarena,Brasil
Filipe Toledo,2019,1330,Billabong Pipe Masters,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,24,175,70,Pipeline,Oahu,"Hawai, USA"
Italo Ferreira,2022,1330,Tahiti Pro Teahupo'o,Brazil,https://www.worldsurfleague.com/athletes/1737/italo-ferreira,Goofy,2009 Men's QS,28,168,68,Teahupo'o,Tahiti,French Polynesia
Gabriel Medina,2022,1330,Oi Rio Pro,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,28,180,77,Itaúna,Saquarena,Brasil
Kanoa Igarashi,2019,1330,Billabong Pipe Masters,Japan,https://www.worldsurfleague.com/athletes/3896/kanoa-igarashi,Regular,2012 Men's JR,22,180,78,Pipeline,Oahu,"Hawai, USA"
Kolohe Andino,2022,1330,J-Bay Open,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,28,180,79,Supertubes,Jeffreys Bay,South Africa
Wade Carmichael,2021,1330,Corona Open Mexico,Australia,https://www.worldsurfleague.com/athletes/2817/wade-carmichael,Regular,2011 Men's JR,28,180,86,Barra de la Cruz,Oaxaca,Mexico
Mikey Wright,2021,1330,Corona Open Mexico,Australia,https://www.worldsurfleague.com/athletes/3830/mikey-wright,Regular,2012 Men's JR,25,183,80,Barra de la Cruz,Oaxaca,Mexico
Jordy Smith,2022,1330,Oi Rio Pro,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,34,190,88,Itaúna,Saquarena,Brasil
Jeremy Flores,2019,1330,MEO Pro Portugal,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,31,173,72,Guincho,Cascais,Portugal
Frederico Morais,2019,1330,Quiksilver Pro France,Portugal,https://www.worldsurfleague.com/athletes/1343/frederico-morais,Regular,2008 Men's QS,27,185,81,Hossegor,Landas,France
Jorgann Couzinet,2019,1330,Quiksilver Pro France,France,https://www.worldsurfleague.com/athletes/2654/jorgann-couzinet,Regular,2011 Men's JR,25,187,85,Hossegor,Landas,France
Nat Young,2022,1330,Surf City El Salvador Pro,United States,https://www.worldsurfleague.com/athletes/139/nat-young,Goofy,2008 Men's QS,31,180,75,El Tunco,La libertad,El Salvador
Kelly Slater,2022,1330,Oi Rio Pro,United States,https://www.worldsurfleague.com/athletes/553/kelly-slater,Regular,1989 Men's CT,50,175,73,Itaúna,Saquarena,Brasil
Owen Wright,2019,1330,MEO Pro Portugal,Australia,https://www.worldsurfleague.com/athletes/297/owen-wright,Goofy,2006 Men's CT,29,190,81,Guincho,Cascais,Portugal
Kelly Slater,2022,1330,Surf City El Salvador Pro,United States,https://www.worldsurfleague.com/athletes/553/kelly-slater,Regular,1989 Men's CT,50,175,73,El Tunco,La libertad,El Salvador
John John Florence,2022,1330,Tahiti Pro Teahupo'o,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,29,186,79,Teahupo'o,Tahiti,French Polynesia
John John Florence,2022,1330,Surf City El Salvador Pro,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,29,186,79,El Tunco,La libertad,El Salvador
Adrian Buchan,2021,1330,Corona Open Mexico,Australia,https://www.worldsurfleague.com/athletes/575/adrian-buchan,Goofy,2003 Men's CT,39,175,75,Barra de la Cruz,Oaxaca,Mexico
John John Florence,2022,1330,J-Bay Open,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,29,186,79,Supertubes,Jeffreys Bay,South Africa
Jack Freestone,2019,1330,Quiksilver Pro Gold Coast,Australia,https://www.worldsurfleague.com/athletes/2112/jack-freestone,Regular,2010 Men's QS,27,185,86,Snapper Rocks,"Gold Coast, Queensland",Australia
Barron Mamiya,2022,1330,Oi Rio Pro,Hawaii,https://www.worldsurfleague.com/athletes/3962/barron-mamiya,Regular,2012 Men's JR,22,175,62,Itaúna,Saquarena,Brasil
Miguel Pupo,2022,1330,Surf City El Salvador Pro,Brazil,https://www.worldsurfleague.com/athletes/688/miguel-pupo,Goofy,2008 Men's QS,30,175,73,El Tunco,La libertad,El Salvador
Griffin Colapinto,2019,1330,Quiksilver Pro Gold Coast,United States,https://www.worldsurfleague.com/athletes/3165/griffin-colapinto,Regular,2011 Men's JR,21,178,78,Snapper Rocks,"Gold Coast, Queensland",Australia
